Name	Ability	Font	Skill	Weapon	Domains	Alt Domains	Spells	Edicts	Anathema	Alignments	Avatar
Thoth	(Intelligence|Wisdom)	(harm|heal)	Arcana	sickle	(Glyph|Knowledge|Magic|Moon)	None	1:Message Rune, 2:Comprehend Language, 3:Secret Page	Maintain order in society and the multiverse, innovate scientific and magical knowledge, record events	Upset stable mechanisms or ecosystems, fail to correct false information	LG, LN, N	None
Wadjet	(Dexterity|Wisdom)	(heal)	Nature	light mace	(Protection|Travel|Water|Zeal)	None	1:Mage Armor, 2:Animal Form{SNAKE}, 4:Fly	Defend your homelands and your people, aid childbirths, grow papyrus, protect sources of clean water	Refuse to help a drowning creature, harm a rightful ruler	LG, NG	None
Baalzebul	(Dexterity|Charisma)	(harm)	Deception	spear	(Air|Ambition|Magic|Trickery)	None	1:Fleet Step, 2:Vomit Swarm, 6:Mislead	Convey yourself with regal dignity, claim what you desire and deserve, seek vengeance from those who wrong you	Provoke Baalzebul's envy, show humility	LE	None
Barbatos	(Constitution|Wisdom)	(harm)	Nature	staff	(Magic|Nature|Travel|Tyranny)	None	1:Magic Fang, 3:Paralyze, 4:Clairvoyance	Veil your motives, make dangerous deals, offer incomplete and ruinous knowledge	Hide any plot against your masters, close or interfere with portals to Hell	LE	None
Belial	(Intelligence|Charisma)	(harm)	Diplomacy	ranseur	(Change|Passion|Trickery|Zeal)	None	1:Charm, 2:Humanoid Form, 3:Enthrall	Indulge your basest desires, create deadly weapons	Impede an act of high hedonism, become too attached to a lover or project	LE	None
Dispater	(Strength|Charisma)	(harm)	Society	mace	(Cities|Confidence|Duty|Tyranny)	None	1:Tether, 4:Suggestion, 6:Flesh to Stone	Uphold absolute law, pursue perfection in your surroundings, speak with refinement	Act above your station, neglect your defenses, betray a lover	LN, LE	None
Geryon	(Intelligence|Wisdom)	(harm)	Occultism	war flail	(Might|Truth|Water|Wyrmkin)	None	1:Acidic Burst, 2:Animal Form{SNAKE}, 3:Hypercognition	Hoard knowledge, test the boundaries of taboo, spread falsehoods to dupe the foolhardy	Declare knowledge heresy or forbidden, break your word	LE	None
Mammon	(Wisdom|Charisma)	(harm)	Thievery	spear	(Ambition|Creation|Toil|Wealth)	None	1:Shattering Gem, 4:Creation, 7:Magnificent Mansion	Gain financial control over others, gather new wealth, count your riches	Leave the cult of Mammon, allow those who steal from you to go unpunished	LE	None
Mephistopheles	(Intelligence|Charisma)	(harm)	Deception	trident	(Glyph|Knowledge|Secrecy|Tyranny)	None	1:Message Rune, 2:Blistering Invective, 5:Subconscious Suggestion	Master laws and use them to your benefit, enable the desperate, excoriate others with veiled meckery	Break a contract you made, get caught breaking the law	LE	None
Moloch	(Strength|Constitution)	(harm)	Athletics	whip	(Destruction|Duty|Fire|Might)	None	1:Burning Hands, 5:Acid Storm, 7:Fiery Body	Spread Hell's order through war, convert communities to sole worship of Moloch, sacrifice creatures in fire	Defy a military superior, flee in battle (unless ordered to do so), lose your combat edge due to your vices	LE	None
Abraxas	(Intelligence|Wisdom)	(harm)	Arcana	whip	(Destruction|Knowledge|Magic|Wyrmkin)	None	1:Share Lore, 2:Spectral Hand, 3:Hypercognition, 4:Reflective Scales, 5:Black Tentacles, 6:Feeblemind, 7:Spell Turning, 8:Unrelenting Observation, 9:Disjunction	Learn and hoard forbidden magic, steal secrets from others	Destroy forbidden lore, reveal the entirety of a secret	NE, CE	None
Angazhan	(Strength|Constitution)	(harm)	Athletics	spear	(Destruction|Might|Nature|Tyranny)	None	1:Magic Fang, 3:Animal Form{APE}, 5:Moon Frenzy	Commit acts of brutal violence, test yourself against nature, make animals more dangerous	Cower from fights, allow yourself to be resurrected instead of reincarnated	CE	None
Baphomet	(Intelligence|Wisdom)	(harm|heal)	Survival	glaive	(Indulgence|Might|Secrecy|Zeal)	None	1:Summon Animal, 2:Enlarge, 8:Maze	Confuse paths and roads, outwit your foes instead of overpowering them, pace labyrinths	Kill something that cannot significantly harm you, bargain with Asmodeus	CN, CE	None
Cyth-V'Sug	(Constitution|Wisdom)	(harm)	Nature	scimitar	(Change|Decay|Nature|Plague)	None	1:Summon Plant or Fungus, 2:Fungal Hyphae, 5:Plant Form	Corrupt all that exists with parasites or fungus, promote the growth of fungus, feast on rotten flesh or fungus	Purify your food, cure a disease or kill a parasite, tolerate another demon lord or their servants (except Treerazer)	CE	None
Dagon	(Strength|Constitution)	(harm)	Athletics	trident	(Change|Destruction|Water|Zeal)	None	1:Hydraulic Push, 3:Feet to Fins, 6:Chain Lightning	Swim underwater, improve your own strength, encourage the spread of dangerous sea monsters	Break a sworn oath, settle in a land-locked area, share Dagon's secrets with outsiders	CN, CE	None
Gogunta	None	(harm)	Intimidation	whip	(Indulgence|Might|Tyranny|Water)	None	1:Jump, 3:Stinking Cloud, 5:Black Tentacles	Sacrifice creatures by drowning them, frolic or sing in swamps, feed or aid amphibians	Grant mercy to boggards who worship other gods	CE	None
Kabriri	(Dexterity|Intelligence)	(harm)	Stealth	(jaws|flail)	(Indulgence|Knowledge|Undeath|Vigil)	None	1:Jump, 2:Expeditious Excavation, 3:Paralyze	Eat the flesh of your own kind	Reveal secrets of the dead to nonbelievers, despoil grave markers	NE, CE	None
Kostchtchie	(Strength|Constitution)	(harm)	Athletics	warhammer	(Cold|Destruction|Might|Zeal)	None	1:Chilling Spray, 2:Enlarge, 5:Cone of Cold	Avenge all slights three times over, kill all witches	Make a deal with Baba Yaga or her children, defer to or obey a woman	NE, CE	None
Nurgal	(Constitution|Charisma)	(harm)	Survival	mace	(Destruction|Dust|Fire|Sun)	None	1:Burning Hands, 2:Flaming Sphere, 3:Cup of Dust	Wage war in the desert, deny water to your foes	Heal a sunburn, change your name	NE, CE	None
Pazuzu	(Dexterity|Charisma)	(harm)	Diplomacy	longsword	(Air|Swarm|Trickery|Tyranny)	None	1:Gust of Wind, 3:Suggestion, 4:Fly)	Tempt others to immoral acts, revel in flight, possess or magically influence others to cause calamities	Deny a flying creature the ability to fly, abuse Pazuzu's name or call on Pazuzu for help, aid worshippers of Lamashtu	CE	None
Shax	(Dexterity|Charisma)	(harm)	Intimidation	dagger	(Ambition, Death, Pain, Trickery)	None	1:Phantom Pain, 2:Invisibility, 3:Haste	Plot and commit murders, tell lies, torture creatures	Sleep in a building with fewer than five rooms, allow a victim to escape due to gloating	NE, CE	None
Sifkesh	(Wisdom|Charisma)	(harm)	Deception	war razor	(Nightmares|Pain|Sorrow|Trickery)	None	1:Ill Omen, 4:Crushing Despair, 5:Subconscious Suggestion	Spread doubt among the faithful, ruin the reputation of religions, provoke wrongdoers to suicide instead of allowing for redemption	SPread hope, offer forgiveness, sincerely honor or call upon another god	NE, CE	None
Treerazer	None	(harm|heal)	Nature	battle axe	(Destruction|Nature|Nightmares|Tyranny)	None	1:Grim Tendrils, 3:Wall of Thorns, 6:Tangling Creepers	Corrupt plant life with evil or fungal influences, slay elves, feast on rotten flesh or fungus	Grant mercy to elves, plant trees, encourage natural plant growth	NE, CE	None
Zevgavizeb	(Strength|Constitution)	(harm)	Survival	spiked gauntlet	(Destruction|Might|Nature|Wyrmkin)	None	1:Magic Fang, 4:Dinosaur Form, 8:Earthquake	Expand your clutch's domain, demonstrate mastery over your crafts and environment, devour the weak	Surrender in combat, express weakness in the face of adversity, show mercy to the weak	NE, CE	None
Zura	(Strength|Charisma)	(harm)	Diplomacy	rapier	(Delirium|Indulgence|Nightmares|Undeath)	None	1:Charm, 4:Gaseous Form, 6:Dominate	Drink blood, seek vampirism, cause bleed damage	Expose vampires, heal a bloody wound without drinking blood from it first	NE, CE	None
Angradd	(Strength|Constitution)	(heal)	Athletics	greataxe	(Fate|Fire|Protection|Zeal)	None	1:Burning Hands, 2:Blistering Invective, 3:Fireball	Seek and destroy evil, study evil to learn the best way to destroy it, train others in righteous ways	Allow weaker evils to survive due to the presence of larger evils, deceive others outside of tactical gain	LG, LN	None
Bolka	(Wisdom|Charisma)	(heal)	Diplomacy	mace	(Confidence|Family|Healing|Passion)	None	1:Soothe, 4:Creation, 6:Collective Transposition	Encourage those seeking love, seek the beauty in others, support others' relationships	Betray your spouse, disrupt a genuine marriage, prevent a suitor from seeking a partner	LG, NG, CG	None
Dranngvit	(Constitution|Wisdom)	(harm|heal)	Intimidation	light pick	(Knowledge|Might|Travel|Vigil)	None	1:Longstrider, 2:Knock, 5:Passwall	Help reclaim just debts, seek appropriate vengeance against transgressions	Allow a slight to go unrecognized, avoid repaying a debt, force others into debts you know are unpayable	LN, LE	None
Droskar	(Constitution|Intelligence)	(harm)	Crafting	light hammer	(Duty|Earth|Trickery|Tyranny)	(Ambition|Fire|Toil)	1:Any Haul, 3:Haste, 6:Dominate	Achieve goals at any cost, continually improve your abilities, establish dominance, work ceaselessly	Fail to work toward goals or grow in skill, relax excessively or give into sloth	LE, NE, CE	None
Folgrit	(Constitution|Wisdom)	(heal)	Medicine	staff	(Cities|Family|Protection|Repose)	None	1:Endure, 4:Fire Shield, 9: Resplendent Mansion	Maintain the sanctity of a home, remain patient with others, take in those without families	Abandon your family, fail to defend your neighbors	LG, NG, LN	None
Grundinnar	(Constitution|Charisma)	(heal)	Diplomacy	light hammer	(Confidence|Family|Protection|Truth)	None	1:Anticipate Peril, 4:Resilient Sphere, 6:Wall of Force	Attempt to bridge the gap between feuding sides, maintain just treaties, maintain relations with neighbors	Sow discord among friends and allies, attack during parley	LG, NG	None
Kols	(Strength|Wisdom)	(harm|heal)	Society	light hammer	(Duty|Knowledge|Might|Truth)	None	1:Unseen Servant, 4:Suggestion, 8:Unrelenting Observation	Seek those that break oaths and enforce just restitution, uphold your promises	Lie, dishonor yourself or your family, shirk your duties, break an oath	LG, LN	None
Magrim	(Constitution|Wisdom)	(heal)	Crafting	warhammer	(Death|Duty|Fate|Glyph)	None	1:Temporary Tool, 2:Expeditious Excavation, 9:Earthquake	Perfect a craft or trade, carve runes, destroy undead, aid others with completing unfinished tasks	Treat gravesites irreverently, mistreat your tools, create undead, damage a soul	LG, LN, N	None
Trudd	(Strength|Constitution)	(heal)	Athletics	warhammer	(Confidence|Duty|Might|Protection)	None	1:Endure, 3:Haste, 4:Stoneskin	Offer your strength to aid others, protect those weaker than you	Engage in petty showcases of strength, use your strength to take advantage of others	LG, NG	None
Count Ranalc	(Dexterity|Charisma)	(harm|heal)	Stealth	rapier	(Confidence|Darkness|Sorrow|Travel)	None	1:Penumbral Shroud, 4:Private Sanctum, 5:Shadow Walk	Work in shadows, hide your nature and motives, plot betrayals or revenge for betrayals	Ask for forgiveness, create permanent or long-lasting sources of light	CG, N, CN, CE	None
Imbrex	(Constitution|Wisdom)	(harm|heal)	Occultism	war flail	(Dreams|Earth|Family|Might)	None	1:Mindlink, 2:Mirror Image, 4:Stoneskin	Pursue your own goals, bring things to their proper ending, split things in half or otherwise create pairs	Offend Imbrex	LN, N, LE	None
Magdh	(Intelligence|Wisdom)	(harm|heal)	Occultism	scythe	(Fate|Glyph|Knowledge|Truth)	None	1:Anticipate Peril, 3:Threefold Aspect, 6:Scrying	Use divination	Lie, share your divinations without payment (no matter how trivial)	LN, N	None
Ng	(Wisdom|Charisma)	(harm|heal)	Survival	gauntlet	(Knowledge|Magic|Secrecy|Travel)	None	1:Pass Without Trace, 2:Invisibility, 4:Blink	Travel, hide your identity and your motives	Sleep in the same place twice in a row, wear seasonal decorations out of season	N	None
Ragadahn	(Strength|Wisdom)	(harm|heal)	Occultism	whip	(Destruction|Vigil|Water|Wyrmkin)	None	1:Hydraulic Push, 3:Feet to Fins, 6:Purple Worm Sting	Draw spirals, seek primordial secrets, use poison, always carry water	Suffer a linnorm's death curse, destroy a fossil	CN, NE, CE	None
Shyka	(Dexterity|Intelligence)	(harm|heal)	Occultism	light mace	(Decay|Delirium|Fate|Time)	None	1:Anticipate Peril, 3:Haste, 7:Time Beacon	Learn from the past, leave hourglasses in unusual places, give random gifts, create ephemeral things	Willingly tread where time does not pass	NG, LN, N, CN, NE	None
The Green Mother	(Constitution|Charisma)	(harm|heal)	Nature	sickle	(Decay|Indulgence|Nature|Passion)	None	1:Charm, 4:Suggestion, 5:Plant Form	Frolic in vegetation, manipulate people, use what you kill, prey on the weak	Hold a secret for too long, discriminate against sex workers or use their trade to harm them	NE, CE	None
The Lantern King	(Intelligence|Charisma)	(harm|heal)	Deception	dagger	(Change|Delirium|Passion|Trickery)	None	1:Illusory Disguise, 2:Hideous Laughter, 6:Baleful Polymorph	Play pranks, seek new jokes, leave lit lanterns in unusual places	Be completely honest, ruin or explain a good jokes	CN, CE	None
The Lost Prince	(Intelligence|Wisdom)	(harm|heal)	Society	staff	(Knowledge|Repose|Sorrow|Vigil)	None	1:Soothe, 4:Modify Memory, 5:Crushing Despair	Aid the depressed, wear somber clothing, maintain neutrality, ruminate on the past	Abandon someone who has no family, take public credit for your good deeds	NG, N	None
Atreia	(Wisdom|Charisma)	(heal)	Performance	katar	(Fire|Healing|Protection|Sun)	None	1:Soothe, 3:Ghostly Weapon, 4:Fire Shield	Burn away corruption, clear the way for new growth, purify tainted areas	Deny a suffering creature warmth, shade, or water, abandon a creature in darkness	LG, NG, CG, N	None
Ayrzul	(Strength|Constitution)	(harm)	Deception	morningstar	(Destruction|Earth|Might|Secrecy)	None	1:Shockwave, 2:Summon Elemental{EARTH}, 6:Flesh to Stone	Use the strength of stone to protect yourself and your secrets, obscure your true motives, slowly poison others	Remove a creature's petrified condition, make a fire larger or hotter than necessary	N, LE, NE, CE	None
Hshurha	(Strength|Dexterity)	(harm)	Stealth	longbow	(Air|Cold|Destruction|Dust)	None	1:Gust of Wind, 2:Summon Elemental{AIR}, 4:Gaseous Form	Revel in formlessness and freedom, humiliate terrestrial creatures, kill foes via falling or hazards from high winds	Deny a flying creature the ability to fly, walk on the earth if you could easily travel otherwise	N, LE, NE, CE	None
Kelizandri	(Constitution|Charisma)	(harm)	Athletics	trident	(Destruction|Nightmares|Travel|Water)	None	1:Fear, 2:Summon Elemental{WATER}, 4:Hydraulic Torrent	Instill hydrophobia in others, kill your foes by drowning them, sacrifice treasures to the depths of the ocean	Destroy a body of water, use magic to calm the waves	N, LE, NE, CE	None
Lysianassa	(Dexterity|Constitution)	(heal)	Survival	spear	(Change|Fate|Nature|Water)	None	1:Hydraulic Push, 3:Aqueous Orb, 5:Control Water	Respect and aid natural cycles, promote life and growth, change to avoid stagnation, swim	Pollute clean bodies of water, dam a river, disrespect sincere gifts of water or drink	LG, NG, CG, N	None
Ranginori	(Dexterity|Charisma)	(heal)	Acrobatics	whip	(Air|Freedom|Lightning|Travel)	None	1:Liberating Command, 4:Fly, 6:Chain Lightning	Open closed areas to fresh air, travel throughout your surroundings daily, fly or make creations that fly	Wrongfully imprison a creature, restrain a creature longer or more tightly than is necessary, suffocate a creature	LG, NG, CG, N	None
Sairazul	(Constitution|Charisma)	(heal)	Nature	pick	(Earth|Family|Toil|Wealth)	None	1:Shattering Gem, 2:Expeditious Excavation, 4:Stoneskin	Shelter others within stone and earth, care for Sairazul's children, aid childbirths, mine responsibly	Damage subterranean natural wonders, collapse an earthen structure on a creature	LG, NG, CG, N	None
Ymeri	(Strength|Charisma)	(harm)	Intimidation	longsword	(Destruciton|Dust|Fire|Zeal)	None	1:Burning Hands, 2:Summon Elemental{FIRE}, 4:Wall of Fire	Inspire your lessers with zeal and strategy, be passionate and quick of wit, destroy your foes with fire	Extinguish destructive blazes, allow yourself to stagnate or lose motivation	N, LE, NE, CE	None
Findeladlara	(Intelligence|Charisma)	(heal)	Crafting	staff	(Cities|Creation|Family|Star)	None	1:Temporary Tool, 4:Shape Stone, 7:Magnificent Mansion	Preserve elven art and architecture, bless and secure households, inspire and aid others with your works	Break the laws of hospitality, allow a guest to bring harm to your family	NG, CG, N, CN	None
Ketephys	(Dexterity|Wisdom)	(heal)	Survival	longbow	(Darkness|Moon|Nature|Secrecy)	None	1:Pass Without Trace, 2:Invisibility, 3:Animal Vision	Hunt and kill demons and undead, maintain the health of the forest, provide for your community	Take more than needed from the wilderness, hunt an animal for sport, aid Treerazer or his minions	NG, CG	None
Yuelral	(Intelligence|Wisdom)	(heal)	Arcana	dagger	(Creation|Earth|Knowledge|Magic)	None	1:Shattering Gem, 2:Shape Wood, 3:Meld into Stone, 4:Speak with Plants, 5:Tree Stride, 6:Tangling Creepers, 7:Unfettered Pack, 8:Prismatic Wall, 9:Nature's Enmity	Practice herbalism, use and enchant gems, encourage and teach magicians and jewelers, preserve elven magic and knowledge	Cut a gem for aesthetic purposes, defile nature, allow the irresponsible use of magic	LG, NG, CG, N	None
Andoletta	(Wisdom|Charisma)	(heal)	Society	staff	(Family|Knowledge|Protection|Sorrow)	None	1:Shillelagh, 4:Aerial Form{BIRD}, 6:Collective Transposition	Respect Elders, Instill good virtues in children, seek and allow redemption	Hold a grudge, mock the dead, pass judgment hastily or carelessly	LG, NG	None
Arshea	(Constitution|Charisma)	(heal)	Diplomacy	flail	(Confidence|Freedom|Passion|Perfection)	None	1:Mage Armor, 2:Humanoid Form, 5:Dreaming Potential	Inspire Passion, comfort and free the repressed, seek your true self and desires	Judge another based on sexual desires or gender roles, harm another in pursuit of passionate	LG, NG, CG	None
Ashava	(Dexterity|Charisma)	(heal)	Performance	bladed scarf	(Darkness|Moon|Repose|Soul)	None	1:Soothe, 2:Glitterdust, 8:Uncontrollable Dance	Dance even when there is no music, cast light in places of darkness, lead the lost	Intentionally mislead someone, desecrate graves, abandon a creature in darkness	NG, CG	None
Black Butterfly	(Dexterity|Wisdom)	(heal)	Stealth	starknife	(Freedom|Secrecy|Star|Void)	None	1:Penumbral Shroud, 2:Blur, 4:Blink	Study the stars, notice moments of silence, perform anonymous acts of kindness	Disrupt another's meditation, interrupt tranquil moments, play noisy or discordant music	NG, CG	None
Cernunnos	(Strength|Constitution)	(heal)	Survival	longbow	(Lightning|Nature|Passion|Zeal)	None	1:True Strike, 2:Animal Form, 3:Lightning Bolt	Protect forests and other natural areas, advocate for animals and plants, take and commit to decisive actions	Fail to strike down evil, enable the destruction of wilderness, needlessly kill animals	LG, NG, CG	None
Dammerich	(Constitution|Wisdom)	(harm|heal)	Athletics	greataxe	(Death|Duty|Truth|Vigil)	None	1:True Strike, 3:Paralyze, 4:Stoneskin	Perform just executions, study local laws, oppose corrupt or bloodthirsty government officials	Kill without thought, execute the innocent, mock the condemned, falsely incriminate another	LG	None
Eritrice	(Intelligence|Charisma)	(heal)	Diplomacy	dagger	(Confidence|Glyph|Knowledge|Truth)	None	1:Mindlink, 2:Comprehend Language, 3:Enthrall	Spread truth, debate contentious issues, aid messengers	Sow or perpetuate lies, obstruct discussion, argue in bad faith	LG, NG, CG	None
Falayna	(Strength|Charisma)	(heal)	Athletics	longsword	(Creation|Freedom|Might|Wealth)	None	1:True Strike, 3:Ghostly Weapon, 5:Cloak of Colors	Wear and make beautiful things, train for combat, recover and return lost mementos	Disrupt or destroy romantic unions, enforce a dress code, cower from fights	LG, NG, CG	None
Halcamora	(Constitution|Wisdom)	(heal)	Nature	club	(Indulgence|Luck|Nature|Swarm)	None	1:Summon Plant or Fungus, 2:Touch of Idiocy, 4:Speak with Plants	Cultivate gardens, share wine, keep helpfulk insects, teach others to farm	Salt or despoil the earth, spread plague or pestilence, carelessly use pesticides	LG, NG, N	None
Irez	(Dexterity|Intelligence)	(heal)	Arcana	dart	(Fate|Glyph|Luck|Magic)	None	1:Anticipate Peril, 2:Mirror Image, 3:Secret Page	Read fortunes, practice calligraphy, devise and study runes	Destroy magic scrolls, cheat at games of chance, deliberately write illegibly	LG, NG, CG, N	None
Jaidz	(Strength|Wisdom)	(heal)	Intimidation	shortsword	(Confidence|Nightmares|Protection|Travel)	None	1:Longstrider, 3:Haste, 7:Mask of Terror	Forgive cowards and offer them guidance, encourage others to test their mettle, face and learn from your fears	Punish anoother creature for cowardice, routinely avoid that which scares you	LG, NG, CG, N	None
Korada	(Wisdom|Charisma)	(heal)	Diplomacy	fist	(Change|Healing|Magic|Protection)	None	1:Soothe, 3:Slow, 4:Resilient Sphere	Forgive those who have wronged you, embrace a peaceful mindset, seek and allow redemption	Cause lethal harm to a creature, deny a repentant creature an opportunity for redemption, ask a retired warrior to fight	NG, N	None
Lymnieris	(Wisdom|Charisma)	(heal)	Society	longsword	(Change|Passion|Protection|Repose)	None	1:Mage Armor, 3:Threefold Aspect, 4:Resilient Sphere	Help others achieve their desires, aid and protect sex workers, help others through difficult transitions	Persecute sex workers, force or support unwanted marriages	LG, NG, CG	None
Pulura	(Constitution|Wisdom)	(heal)	Survival	sling	(Cold|Darkness|Sorrow|Star)	None	1:Color Spray, 5:Chromatic Wall, 6:Teleport	Aid travelers, comfort the lonely, teach the constellations	Mock the homesick, deny warmth to others, pollute the skies with smoke or light	NG, CG	None
Ragathiel	(Strength|Charisma)	(harm|heal)	Intimidation	bastard sword	(Destruction|Duty|Fire|Zeal)	None	1:True Strike, 3:Haste, 4:Fire Shield	Avenge the wronged, destroy evildoers, lead the charge in battle	Cower from combat, forgive those who have irreparably sinned, leave allies unwillingly in darkness	LG	None
Shei	(Intelligence|Charisma)	(heal)	Society	sickle	(Family|Freedom|Healing|Perfection)	None	1:Liberating Command, 3:Hypercognition, 5:Dreaming Potential	Empower local communities, learn from elders, share and teach from experiences	Force others to follow your path, inflict negative damage, age others or steal life with magic	LG, NG, CG	None
Soralyon	(Strength|Intelligence)	(heal)	Arcana	pick	(Creation|Earth|Magic|Protection)	None	1:Summon Construct, 3:Meld into Stone, 4:Stoneskin	Study Monuments, craft golems and artwork from stone, guard ancient sites	Defile sacred buildings, knowingly unearth evil monuments, destroy historical artifacts	LG, NG, CG, N	None
Tanagaar	(Strength|Wisdom)	(heal)	Stealth	kukri	(Darkness|Duty|Nature|Zeal)	None	1:Pass Without Trace, 3:Animal Vision, 4:Aerial Form{BIRD}	Defend lawful border, scout or patrol for evil, wait to strike until you have the advantage	Abandon your post, tolerate poaching, torment animals	LG, LN	None
Vildeis	(Constitution|Charisma)	(harm|heal)	Medicine	dagger	(Duty|Pain|Sorrow|Zeal)	None	1:Phantom Pain, 2:Slough Skin{F:Appears as streams of blood}, 5:Synaptic Pulse	Sacrifice yourself in pursuit of good, champion noble causes, scar your body	Joke or laugh about injustice, sacrifice others in your place, indulge in luxury	LG	None
Winlas	(Intelligence|Wisdom)	(heal)	Occultism	mace	(Glyph|Knowledge|Proteciton|Vigil)	None	1:Share Lore, 2:Comprehend Language, 4:Veil	Serve leaders of ceremonies, craft ceremonial arms and armor, lead a congregation	Deride sacred ceremonies, carelessly or lazily perform rituals, destroy ceremonial objects	LG, NG, LN	None
Ylimancha	(Dexterity|Wisdom)	(heal)	Acrobatics	longbow	(Air|Nature|Travel|Water)	None	1:Feather Fall, 3:Feet to Fins, 4:Fly	Teach sustainable fishing, swim in saltwater, fly	Imprison birds or clip their wings, pooison coastal waters, overfish, aid Pazuzu or his minions	LG, NG, CG, N	None
Zohls	(Intelligence|Wisdom)	(heal)	Society	heavy crossbow	(Ambition|Cities|Knowledge|Truth)	None	1:Share Lore, 3:Hypercognition, 7:Retrocognition	Solve logic puzzles, investigate crimes, devise new solutions form research	Make judgments without evidence, contaminate evidence, obstruct truths	LG, NG, LN	None
Apollyon	(Strength|Constitution)	(harm)	Medicine	scythe	(Air|Decay|Plague|Swarm)	None	1:Goblin Pox, 2:Vomit Swarm, 5:Cloudkill	End all mortal life through diseas and poison, cultivate diseased animals	Prevent plagues, bury or burn the dead	LE, NE, CE	None
Charon	(Constitution|Intelligence)	(harm)	Occultism	staff	(Death|Knowledge|Soul|Water)	None	1:Grim Tendrils, 4:Crushing Despair, 9:Weird	End all mortal life, exploit those who fear death	Offer anything for free, extend mortal lifespans, grant true salvation to the doomed or dying	LE, NE, CE	None
Szuriel	(Strength|Constitution)	(harm)	Athletics	greatsword	(Ambition|Destruciton|Fire|Might)	None	1:Burning Hands, 3:Haste, 4:Weapon Storm	End all mortal life through war, obliterate faith	Show mercy to creatures who do not worship Szuriel, choose to marry or have children	LE, NE, CE	None
Trelmarixian	(Constitution|Wisdom)	(harm)	Nature	spiked gauntlet	(Decay|Dust|Earth|Nightmares)	None	1:Grease, 2:Feast of Ashes, 5:Acid Storm	End all mortal life through wasting consumption and starvation, violently consume matter and souls	Kill or remove a parasite or tumor, grow food	LE, NE, CE	None
Barzahk	(Constitution|Wisdom)	(heal)	Survival	club	(Death|Knowledge|Travel|Vigil)	None	1:Longstrider, 2:Knock, 6:Teleport	Aid travelers and those who return from the dead, tend to roadside graves, find missing objects or people	Celebrate specific calendar dates over others, avoid travel or change, freeze time for an object or creature	NG, N, CN	None
Chohar	(Strength|Charisma)	(heal)	Intimidation	starknife	(Cities|Family|Fire|Sun)	(Duty|Toil|Vigil|Zeal)	1:Burning Hands, 3:Fireball, 4:Fire Shield	Finish any and all tasks you accept, bring those who are cruel to justice, show pride in your home and your heritage	Break your word, be cruel to the innocent, rebuke someone due to their homeland	LG, NG, LN	None
Imot	(Strength|Intelligence)	(harm|heal)	Occultism	shield boss	(Death|Destruction|Fate|Glyph)	None	1:Ill Omen, 2:Paranoia, 6:Phantasmal Calamity	Search for omens in the natural world, push the boundaries of mathematics, study past disasters	Withhold your understanding of a portent, prevent the destruction of things that cannot be saved	LN, N, NE	None
Kerkamoth	(Constitution|Wisdom)	(harm|heal)	Occultism	warhammer	(Darkness|Decay|Destrution|Void)	None	1:Penumbral Shroud, 5:Shadow Siphon, 6:Disintegrate	Clean cluttered spaces, embrace moments of silence	Attempt to preserve something indefinitely, perform an act of wanton and significant destruction	LN, N	None
Luhar	(Dexterity|Wisdom)	(harm)	Stealth	spiked chain	(Cities|Darkness|Dreams|Sun)	(Fate|Soul|Star|Zeal)	1:Sleep, 3:Invisibility Sphere, 5:Shadow Walk	Learn about the night and prepare yourself to face its creatures and dangers, always make time for sleeping and dreams, ensure others never go to sleep scared	Stay up all night without any breaks for sleeping or dreaming, attack a person or creature while they sleep, leave a badly wounded opponent alive and suffering	LG, LN, LE	None
Monad	(Intelligence|Wisdom)	(harm|heal)	Occultism	fist	(Creation|Knowledge|Truth|Void)	None	1:Unseen Servant, 2:Spectral Hand, 4:Gaseous Form	Ensure balance between opposing forces, mediate disagreements	Allow your personal motivations to determine a major decision	LN, N	None
Mother Vulture	(Constitution|Wisdom)	(heal)	Survival	sickle	(Change|Death|Decay|Nature)	None	1:Soothe, 4:Aerial Form, 6:Baleful Polymorph	Recycle rot and waste into useful creation, eat the flesh of your own people, kill without mercy if it benefits your community, help to raise children	Poison insects or scavengers, waste food or good materials, allow rot to poison an area, create undead	NG, N, NE	None
Narakaas	(Constitution|Wisdom)	(heal)	Diplomacy	greataxe	(Change|Death|Pain|Sorrow)	None	1:Endure, 2:Slough Skin, 4:Modify Memory	Help others through painful changes, offer harsh punishments to the penitent, seek and allow redemption	Torture an unwilling creature, take joy in suffering	NG, LN, N	None
Narriseminek	(Dexterity|Wisdom)	(harm|heal)	Occultism	hatchet	(Delirium|Freedom|Knowledge|Perfection)	None	1:Mindlink, 4:Confusion, 5:Synesthesia	Divine the future, transform the bodies of willing creatures, rebel agains organized structures	Refuse to speak to a keketar, eschew a challenge by turning town a promotion or an advancement	CG, CN	None
Otolmens	(Dexterity|Intelligence)	(heal)	Crafting	mace	(Creation|Fate|Knowledge|Perfection)	None	1:True Strike, 4:Gravity Well, 7:Reverse Gravity	Relentlessly document and interpret data, correct cosmic errors	Suppress a factual report, ignore facts, misrepresent quantitative data	LG, LN	None
Saloc	(Wisdom|Charisma)	(heal)	Diplomacy	guisarme	(Change|Death|Freedom|Knowledge)	None	1:Share Lore, 3:Hypercognition, 5:Dreaming Potential	Help creatures grow and find purpose, offer second chances to failures, study different perspectives on ethics	Manipulate or remove a creature's emotions with magic, spread nihilism or hopelessness	NG, N, NE	None
